"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Central Depository Services (India) Ltd","CDSL","","Financial Services","6381024200.4","5399410000","0.86","3529718","-500000","-12.41","/mutual-fund/holding-history/10901/53219/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","6093436915.2","5396341000","0.86","9648384","","","/mutual-fund/holding-history/10901/77534/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","4970125582.8","5344746000","0.85","5394102","","","/mutual-fund/holding-history/10901/480/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5750709818.7","5341690000","0.85","3759371","","","/mutual-fund/holding-history/10901/1127/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","6181582834","5323877000","0.84","642476","","","/mutual-fund/holding-history/10901/1499/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","6006987382.9","5310849000","0.84","4297151","124322","2.98","/mutual-fund/holding-history/10901/1521/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","5999669775","5246174000","0.83","658075","","","/mutual-fund/holding-history/10901/124/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","5317286784","5144316000","0.82","350144","-120000","-25.52","/mutual-fund/holding-history/10901/60393/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","5996831309.8","5143540000","0.82","4102361","","","/mutual-fund/holding-history/10901/2214/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","5036103091.2","5076703000","0.81","4185591","","","/mutual-fund/holding-history/10901/3892/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4905779419.2","4980983000","0.79","4177976","","","/mutual-fund/holding-history/10901/140/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","5090754186","4966884000","0.79","4838660","135967","2.89","/mutual-fund/holding-history/10901/1313/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","4396846225.44","4831155000","0.77","24775152","","","/mutual-fund/holding-history/10901/1627/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","5129460900","4751113000","0.75","2103100","","","/mutual-fund/holding-history/10901/117/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","5231912921.8","4491077000","0.71","2587622","","","/mutual-fund/holding-history/10901/154217/"
