"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","3283200000","3123040000","0.5","3200000","3200000","New","/mutual-fund/holding-history/10906/1103/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3326569344","3101058000","0.49","550028","","","/mutual-fund/holding-history/10906/1023/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","2893629608.8","3076657000","0.49","1526498","","","/mutual-fund/holding-history/10906/80210/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","3225375207.6","3068382000","0.49","2002468","","","/mutual-fund/holding-history/10906/209/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","2965969680","3067379000","0.49","158948","","","/mutual-fund/holding-history/10906/202203/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","2996920611.3","3027364000","0.48","7707138","","","/mutual-fund/holding-history/10906/1364/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","2623600000","3002200000","0.48","400000","","","/mutual-fund/holding-history/10906/791/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","3268047393.1","2976596000","0.47","1290749","2715","0.21","/mutual-fund/holding-history/10906/74800/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","2991659506","2952674000","0.47","9282220","","","/mutual-fund/holding-history/10906/716755/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","3153388415.65","2944443000","0.47","13819135","","","/mutual-fund/holding-history/10906/4685/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","2709395045.1","2842041000","0.45","2918506","","","/mutual-fund/holding-history/10906/416/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","3080219867.1","2828297000","0.45","1780371","","","/mutual-fund/holding-history/10906/338662/"
"Indigo Paints Ltd Ordinary Shares","INDIGOPNTS","543258","Basic Materials","2919540000","2806570000","0.45","2600000","","","/mutual-fund/holding-history/10906/402502/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2733207563.4","2751615000","0.44","3574222","","","/mutual-fund/holding-history/10906/606/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","2663975299.92","2715946000","0.43","17737368","","","/mutual-fund/holding-history/10906/878/"
"PG Electroplast Ltd","PGEL","533581","Technology","2556856384","2662644000","0.42","3451480","","","/mutual-fund/holding-history/10906/1031/"
"CARE Ratings Ltd","CARERATING","534804","Financial Services","2683385574","2652372000","0.42","1476822","","","/mutual-fund/holding-history/10906/240/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2561115446","2621166000","0.42","438322","","","/mutual-fund/holding-history/10906/1124672/"
"Honda India Power Products Ltd","HONDAPOWER","522064","Industrials","2449770740","2596954000","0.41","894730","","","/mutual-fund/holding-history/10906/570/"
"RITES Ltd Ordinary Shares","RITES","541556","Industrials","2510680000","2552448000","0.41","9200000","","","/mutual-fund/holding-history/10906/92280/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","2442913867.2","2547206000","0.4","3274464","","","/mutual-fund/holding-history/10906/252/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","2228877014.9","2480271000","0.39","2214923","","","/mutual-fund/holding-history/10906/78664/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","2402621278.2","2479088000","0.39","697686","","","/mutual-fund/holding-history/10906/169265/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","2468777518.8","2424575000","0.38","5051724","","","/mutual-fund/holding-history/10906/1061/"
"Astra Microwave Products Ltd","ASTRAMICRO","532493","Technology","2407900000","2409880000","0.38","2200000","","","/mutual-fund/holding-history/10906/123/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","2167366963.2","2395356000","0.38","1333272","","","/mutual-fund/holding-history/10906/496/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","2265352938.75","2358624000","0.37","5314611","-8251","-0.16","/mutual-fund/holding-history/10906/747240/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","2303078749.9","2347443000","0.37","2257699","","","/mutual-fund/holding-history/10906/709/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","2159257980","2331666000","0.37","416042","","","/mutual-fund/holding-history/10906/445359/"
